,date,news_oil,news_ship,news_sc,news_steel,news_vh,news_others
0,"<span>Apr 15, 2022 04:50PM ET</span>",,,,,,"NEW YORK (Reuters) - Net foreign inflows into Treasuries rose for a fourth straight month in February in the amount of $75.3 billion, data from the U.S. Treasury department showed on Friday.
Of that, private overseas investors bought $91.9 billion in Treasuries and foreign official institutions sold $16.2 billion.
Foreigners have bought Treasuries in 10 of the last 12 months, including a record net monthly purchase of $118 billion in March 2021.
Overall, Treasury International Capital (TIC) data showed a net inflow of $162.6 billion, versus a $287.4 billion inflow in January. Of this, net foreign private inflows were $198.4 billion, and net foreign official flows were negative $35.8 billion.
The overall foreign buying came as U.S. yields rose. U.S. benchmark 10-year Treasury yields peaked at 2.0650% in February, reaching the highest level since July 2019, and ended the month at 1.8216%, up about 4 basis points from the end of January.
The yield on the two-year note rose to 1.4363% in February from 1.1846% at the end of January, reaching a peak of 1.6430% that was last seen in December 2019, as markets anticipated that the Federal Reserve would imminently start hiking interest rates to slow price rises and stave off hotter inflation. 
The Fed did raise its policy rate in March by 0.25 basis points, the first hike since 2018, and announced how it would reduce its $8.5 trillion balance sheet, ballooned by pandemic-era bond purchases. Several more rate hikes are expected this year and next.
Foreign holdings of Treasury securities rose to $7.714 trillion from $7.661 trillion in January. 

Japan's holdings of Treasury securities rose by more than $3 billion to $1.306 trillion. Japan remained the largest non-U.S. holder of Treasuries.
China, the second-largest holder of Treasuries, saw its holdings decline to $1.054 trillion from $1.060 trillion in January. 
 
"
1,"<span>Apr 15, 2022 04:30PM ET</span>",,,,,,"(Reuters) - A sharp rebound in automotive output in March spurred a third straight monthly gain in U.S. factory activity, perhaps signaling the worst of the production woes that have dogged the motor vehicle industry over the last year may have passed. 
Overall industrial production increased 0.9% last month, keeping pace with February's upwardly revised pace, the Federal Reserve said on Friday. Economists polled by Reuters had forecast factory production accelerating 0.4%. Output jumped 5.5% from a year earlier.
Manufacturing, which accounts for 11.9% of the American economy, has benefited from a shift in spending to goods from services during the COVID-19 pandemic. But manufacturers have struggled to cope with the strong demand while labor markets have become extraordinarily tight and supply bottlenecks have persisted due to COVID lockdowns in China and the war in Ukraine.
Especially hard hit by supply issues has been the automotive sector, where production has been hampered for more than a year by a global shortage of electronic components, especially the computer chips needed for today's increasingly complex vehicle operating systems. 
Graphic: U.S. auto production rebounded in March - https://graphics.reuters.com/USA-ECONOMY/akpezjdyjvr/chart.png 
But U.S. motor vehicle and parts production shot up by 7.8% last month, the largest increase since October, after a downwardly revised drop of 4.6% in February. Total assemblies of cars and light trucks rose to nearly 9.5 million vehicles at a seasonally adjusted annual rate, the highest since January 2021, up from 8.3 million the month before.
""The auto industry is making a comeback,"" Bill Adams, chief economist for Comerica (NYSE:CMA) Bank, said in a note. ""Production plunged in 2021 as the chip shortage idled factories. Now that is reversing as carmakers work through the challenge and find ways to stretch their chip supplies.""
The production recovery should further fuel a pickup in auto sales that have been held back by the supply shortages, Adams said. Even as consumer spending shifts back toward services in the months ahead as COVID caseloads ease, ""vehicle sales have brighter prospects this year than other categories of durable consumer goods.""
""Since sales last year were held back so much by the chip shortage, vehicle sales are constrained much more by supply than demand, and so will grow solidly in 2022 and 2023 despite higher (interest) rates on car loans and less support from fiscal stimulus,"" he said.
Overall industrial sector capacity utilization, a measure of how fully companies are using their resources, rose to 78.3% last month, the highest in more than three years, from 77.7% the month before. It is 1.2 percentage points below its 1972-2021 average.
Capacity use for the manufacturing sector increased to 78.7% in March, the highest level since 2007, from 78.1% in February. 
Officials at the Fed tend to look at capacity use measures for signals of how much ""slack"" remains in the economy — how far growth has room to run before it becomes inflationary.
A separate report from the New York Federal Reserve on Friday showed manufacturing activity in New York state has accelerated in April, even as inflationary pressures kept building.

Its Empire State Manufacturing Index rose to a four-month high of 24.6 after a reading of negative 11.8 in March. The survey's prices paid index shot to a record high of 86.4 from 73.8 last month.
Optimism in the outlook waned, however, with the six-month outlook index dropping to 15.2, the lowest in about two years, from 36.6 in March. 
 
"
2,"<span>Apr 15, 2022 12:35AM ET</span>",,,,,,"BEIJING (Reuters) -Growth in new home prices in China was flat again in March versus the previous month, government data showed on Friday, pointing to fragile demand as growing COVID-19 lockdown measures dampened consumer confidence.
Average new home prices in 70 major cities were unchanged on a month-on-month basis for the second time in a row, according to Reuters calculations based on March data from the National Bureau of Statistics (NBS).
On a year-on-year basis, new home prices rose 1.5%, the slowest pace since November 2015, and easing from a 2.0% gain in February.
Over 60 cities have eased curbs on home purchases to support the ailing property market, after a government campaign to reduce developers' high debt levels pushed the sector into a deep chill in the second half of 2021.
Banks in over 100 Chinese cities have lowered mortgage rates by around 20 to 60 basis points since March，central bank official Zou Lan said on Thursday.
But after signs of improvement in January, a surge in cases of the highly transmissible Omicron variant and strict virus lockdown measures have again cooled demand in many cities.
In tier-one cities, prices gained 0.4% on month, narrowing from a 0.5% rise in February, while growth in tier-two cities was zero.
""The growth slowdown in first-tier cities in March was mainly due to the impact of the COVID pandemic, indicating weaker market expectations,"" said analyst Xu Xiaole at Beike Research Institute.
More cities are likely to relax property curbs in the near future, and demand will be gradually released, said Xu.
The property market in the commercial hub of Shanghai slowed with home prices rising at the slowest pace in four months, at 0.3% month-on-month.
Shanghai is in the midst of China's worst outbreak since the virus emerged in Wuhan in late 2019, reporting more than 20,000 cases daily amid an unprecedented citywide lockdown. Dozens more cities are in partial or full lockdown.
Price growth in Shanghai does not reflect the overall market situation, said analyst Lu Wenxi at property agency Centaline.
""The growth in new home prices in Shanghai will further ease in April,"" Lu added.
In March, transactions by value of newly built homes in Shanghai slumped 27% from a month earlier to 36.2 billion yuan ($5.68 billion)，financial magazine Yicai said.
China's State Council, or cabinet, on Wednesday said more policy measures are needed to support the economy, but analysts are unsure if interest rate cuts would quickly reverse the slump as long as the government maintains its zero tolerance COVID-19 policy.

In the first 12 days of April, new home sales by volume in 30 cities surveyed by Wind were down 55.6% year-on-year, analysts at Nomura said in a client note on Wednesday.
($1 = 6.3739 Chinese yuan renminbi)
 
"
3,"<span>Apr 14, 2022 02:00PM ET</span>",,,,,,"By Lucia Mutikani
WASHINGTON (Reuters) - U.S. retail sales increased solidly in March, boosted by record- high gasoline prices, but consumers are starting to feel the pinch of high inflation, with online spending posting back-to-back declines for the first time in more than a year.
The report from the Commerce Department on Thursday, which also showed stronger retail sales growth in February than initially thought, suggested consumer spending picked up in the first quarter, helping to underpin the overall economy. 
A tightening labor market, which is driving up wages, and massive savings accumulated during the pandemic are providing some cushion against inflation. Annual inflation surged by the most in more than 40 years in March, though there are signs price pressures have peaked and should start to gradually abate.
""The report still reveals the resilience of consumer spending,"" said Tim Quinlan, a senior economist at  Wells Fargo  (NYSE:WFC) in Charlotte, North Carolina. ""There is no doubt households are feeling the pinch from skyrocketing prices across an array of products. But there are signs that pandemic-related inflation is beginning to ease."" 
Retail sales rose 0.5% last month. Data for February was revised higher to show sales increasing 0.8% instead of 0.3% as previously reported. Economists polled by Reuters had forecast retail sales climbing 0.6%, with estimates ranging from as low as a 0.3% decline to as high as 2.2% jump. 
Retail sales, which are mostly goods, advanced 6.9% on a year-on-year basis. They are not adjusted for inflation. 
GRAPHIC: Retail sales https://graphics.reuters.com/USA-STOCKS/xmvjoqzlkpr/retailsales.png 
Sales at service stations shot up 8.9%, accounting for the bulk of the increase in sales in March. Monthly consumer prices increased by the most in 16-1/2 years in March as Russia's war against Ukraine boosted the cost of U.S. gasoline to record highs. Prices at the pump on average soared to an all-time high of $4.33 per gallon in March, according to AAA.
Excluding gasoline, retail sales fell 0.3%. 
Though gasoline prices have since retreated to an average of $4.074 per gallon, high inflation is likely to prevail. A separate report from the Labor Department on Thursday showed import prices jumped 2.6% last month, the largest rise since April 2011, after increasing 1.6% in February.
Stocks on Wall Street were lower. The dollar rose against a basket of currencies. U.S. Treasury prices fell. 
GRAPHIC: Inflation https://graphics.reuters.com/USA-STOCKS/dwpkrqoagvm/inflation.png 
STRONG LABOR MARKET 
Soaring prices are reducing consumers' purchasing power, but rising wages are helping to blunt some of the hit. The unemployment rate is at a two-year low of 3.6% and there were a near-record 11.3 million job openings at the end of February, making it easier for some cash-strapped Americans to take a second job or pick up extra shifts.
Consumers also accumulated more than $2 trillion in excess savings during the COVID-19 pandemic. 
A separate report from the Labor Department on Thursday showed initial claims for state unemployment benefits increased 18,000 to a still-low seasonally adjusted 185,000 for the week ended April 9. Economists had forecast 171,000 applications for the latest week. 
Declining gasoline prices and the firming labor market led to consumer sentiment rebounding from a decade low in early April. 
GRAPHIC: Consumer sentiment https://graphics.reuters.com/USA-STOCKS/egvbkbzyrpq/UMich.png 
Better job security is also allowing some consumers to take on more debt. Last month, clothing store sales rose 2.6%. There were also increases in receipts at building material, garden equipment and supplies stores as well as at furniture, food and electronics and appliance retailers. 
Sales at sporting goods, hobby, musical instrument and book stores rose 3.3%. Receipts at bars and restaurants, the only services category in the retail sales report, rose 1.0%. Demand for services like air travel and hotel accommodation is surging, providing further support for consumer spending. This follows the rolling back of pandemic restrictions. 
But sales at auto dealerships fell 1.9% amid ongoing motor vehicle shortages. Online store sales tumbled 6.4% after falling 3.5% in February, the first back-to-back decline since the last two months of 2020, which some economists attributed to strained household budgets because of the gasoline price shock. Others blamed shifting seasonal patterns.
Online retail sales have declined from a peak of $100.0 billion in January to $90.350 billion in March. There are worries that rising interest rates as the Federal Reserve tries to stamp out inflation could cool demand in the months ahead.
""If previous environments are any indication, the latter half of 2022 could see a slowdown in consumer demand as the Fed tries to contain elevated price levels,"" said Peter Essele, head of portfolio management at Commonwealth Financial Network.
Excluding automobiles, gasoline, building materials and food services, retail sales dipped 0.1% in March. Data for February was revised higher to show these so-called core retail sales declining 0.9% instead of 1.2% as previously reported.

Core retail sales correspond most closely with the consumer spending component of gross domestic product. February's upward revision and March's modest fall prompted some economists to lift their first-quarter consumer spending and GDP growth estimates. Goldman Sachs (NYSE:GS) hiked its GDP growth estimate to a 1.5% rate from a 1.0% pace. The economy grew at a robust 6.9% rate in the fourth quarter.
""Today's report continues to reflect strong consumer demand in the first quarter, but we see headwinds from the oil price shock combined with tighter monetary policy lowering real consumer spending growth later this year and next,"" said Ellen Zentner, chief U.S. economist at  Morgan Stanley  (NYSE:MS) in New York. 
 
"
4,"<span>Apr 14, 2022 11:41AM ET</span>","By Timothy Aeppel
(Reuters) - Through most of the pandemic, Kent International, Inc couldn’t import enough Chinese-made bicycles to supply Walmart (NYSE:WMT) Inc and its other big U.S. retail customers.
But in recent months, the New Jersey-based wholesaler and manufacturer built a nice buffer -- about a 10-week supply at its three warehouses in California, South Carolina and New Jersey, compared to the pre-COVID normal of four to six weeks of stock. And the company is glad to have it, now that a new wave of shutdowns in China to combat rising COVID cases is roiling global supply chains.
""The supply chain for bicycles has caught up,"" said Arnold Kamler, the CEO.
Many U.S. companies are in the same position. Inventory levels have gone up in recent months as U.S. port congestion eased and supply chains have begun to untangle.
Wholesale inventories surged 19.9% in February on a year-on-year basis, according to figures released by the Commerce Department on Thursday. They were up 2.5% from January.
Most economists predict inventories could continue the upswing, since inflation-adjusted inventories remain below their pre-pandemic level. Inventory-to-sales ratios are also low.
The challenge now is the latest shutdown in China, which is clogging highways and ports and stranding workers inside factories or shutting down production. These disruptions are sending a new ripple through global supply chains for goods ranging from electric cars to iPhones.
Don DiCostanzo, chief executive of Pedego Electric Bikes, said he started adding to inventories a year ago and opened a second warehouse in February near his office in California to hold the overflow.
""We've stocked it to the gills,"" he said. ""But we have challenges with incoming inventory because Shanghai has been shut down for a month."" That might mean shortages as the company moves into its busy summer season. It also means Pedego will have to delay the launch of a new product planned for June, because those bikes won’t make it on time.
'A MORE NORMAL CYCLE'
Some companies have built up inventories with an eye on grabbing market share from competitors who didn’t move as fast to refill shelves.
Automatic Pool (NASDAQ:POOL) Covers, Inc in Indiana, for instance, is now sitting on three times as much inventory as it held just before the pandemic. 
Michael Shebek, the company's CEO, said he was able to do that by sharply expanding the number of suppliers he used to get materials and parts. He said the demand for new pools appears to be easing, though it remains elevated. During the pandemic, businesses that sold items needed to make life more comfortable for those homebound by quarantines surged.
For now, Shebek said having extra inventory has given him ""a competitive advantage over those who don’t have it.""
Kamler, the CEO of Kent, said last year he was ""scrambling for bicycles like they were gold - but now, we’re in a more normal cycle.""
The Chinese factory that supplies most of his bicycles in Kunshan, near Shanghai, has now shut down. Whether that eventually causes another round of shortages for him depends on how long the halt lasts, he said, noting that with the fatter inventories he now holds, it shouldn’t be a problem unless it goes on longer than a month.
To be sure, there’s a dark side to holding all those goods. ""The cash issue is the one nobody talks about,"" said Kamler.
He estimates that he’s now paying U.S. Customs $4 million to $5 million a month in duties on his imported bikes. He also has a factory in South Carolina that makes bikes, but it relies heavily on Chinese parts that also carry tariffs. When he ships goods to retailers, he recovers this cost. But carrying inventories for longer periods means carrying that added cost longer.

The higher cost of ocean freight -- which shot up during the pandemic and remains elevated -- also remains a burden.
Before the pandemic, Kamler said he paid $2,000 to ship a container from China to one of his U.S. warehouses. His shipper just notified him that on May 1, that rate will go from $5,000 a container to $9,000. 
 
",,,,,
5,"<span>Apr 14, 2022 11:05AM ET</span>",,,,,,"(Reuters) - U.S. consumer sentiment rebounded unexpectedly in early April from a decade low with the strong job market lifting the outlook for wage growth and a fall in gasoline prices from the previous month's record high helping to cap expectations for a further acceleration in inflation, a survey showed on Thursday.
The University of Michigan's Consumer Sentiment Index rose to 65.7 on a preliminary basis this month from a final reading of 59.4 in March, which had been the lowest since 2011. That topped expectations for a reading of 59, according to a Reuters poll of economists, and helped snap a skid of three consecutive monthly declines.
The increase came almost entirely from a jump in the expectations index to 64.1 on a preliminary basis from a March final level of 54.3. Assessments of current conditions were little changed.
Consumers' estimates for the rate of inflation over the next year were unchanged at 5.4%, which is the highest since 1981 and signals that consumers have some faith that measured inflation will recede from a four-decade high of 8.5% hit in March. And, for a third straight month, they estimated inflation over the next five years at 3.0%.
The U.S. Federal Reserve last month lifted interest rates for the first time since 2018 and officials there have signaled an aggressive campaign of rate hikes in the months ahead to rein in inflation. 
The improvement in expectations was powered by a 29.4% jump in the economic outlook for the year ahead and a 17.2% increase in personal financial expectations, survey Director Richard Curtin said in a statement. 
""A strong labor market bolstered wage expectations among consumers under age 45 to 5.3% - the largest expected gain in more than three decades, since April 1990,"" Curtin said.

He also said consumers estimated a negligible change in gas prices in the year ahead after the previous month's prediction that they would rise by nearly 50 cents a gallon a year out.
Gas prices have dropped by more than 25 cents a gallon after hitting a record $4.33 in early March, according to AAA. 
 
"
6,"<span>Apr 14, 2022 10:25AM ET</span>",,,,,"WASHINGTON (Reuters) - U.S. business inventories increased more than expected in February amid a moderation in sales, data showed on Thursday.
Business inventories rose 1.5% after climbing 1.3% in January, the Commerce Department said. Inventories are a key component of gross domestic product. Economists polled by Reuters had forecast inventories rising 1.3%. 
Inventories jumped 12.4% on a year-on-year basis in February. Retail inventories increased 1.2% in February, instead of 1.1% as estimated in an advance report published last month. That followed a 2.0% rise in January.
Motor vehicle inventories rose 0.9% as estimated last month. They increased 2.7% in January. Retail inventories excluding autos, which go into the calculation of GDP, climbed 1.4%, rather than 1.2% as estimated last month.
Inventory investment surged at a robust seasonally adjusted annualized rate of $193.2 billion in the fourth quarter, contributing 5.32 percentage points to the quarter's 6.9% growth pace. Most economists see further scope for inventories to rise, noting that inflation-adjusted inventories remain below their pre-pandemic level. Sales-to-inventory ratios are also low.
Businesses are restocking after drawing down inventories from the first quarter of 2021 through the third quarter. Growth estimates for the first quarter are around a 1.0% rate.

Wholesale inventories increased 2.5% in February. Stocks at manufacturers gained 0.6%.
Business sales rose 1.0% in February after rebounding 4.1% in January. At February's sales pace, it would take 1.26 months for businesses to clear shelves, down from 1.25 months in January. 
 
",
7,"<span>Apr 14, 2022 09:15AM ET</span>","WASHINGTON (Reuters) - U.S. import prices accelerated by the most in 11 years in March as Russia's war against Ukraine boosted petroleum prices, another sign that high inflation could persist for a while.
Import prices jumped 2.6% last month, the largest rise since April 2011, after increasing 1.6% in February, the Labor Department said on Thursday. In the 12 months through March, prices raced 12.5%, the largest gain since September 2011, after advancing 11.3% in February. Economists polled by Reuters had forecast import prices, which exclude tariffs, increasing 2.3%.
The Russia-Ukraine war has driven up prices of oil and other commodities, like wheat and sunflower oil.
Government data this week showed monthly consumer prices increasing by the most in 16-1/2 years in March, while producer prices notched their largest gain since December 2009. The Federal Reserve in March raised its policy interest rate by 25 basis points and has signaled bigger rate hikes down the road. 
Imported fuel prices jumped 14.6% last month after rising 10.0% in February. Petroleum prices shot up 16.1%, while the cost of imported food edged up 0.1%.
Excluding fuel and food, import prices accelerated 1.2%. These so-called core import prices increased 0.7% in February. They jumped 7.1% on a year-on-year basis in March.

The report also showed export prices soared 4.5% in March, the largest since the monthly series started in January 1989, after advancing 3.0% in February. 
Prices for agricultural exports surged 4.7%. Nonagricultural export prices vaulted 4.5%. Export prices jumped 18.8% year-on-year in March. That was the largest increase on record and followed a 16.5% increase in February. 
 
",,,,,
8,"<span>Apr 14, 2022 08:53AM ET</span>",,,,,"By Geoffrey Smith 
Investing.com -- U.S. retail sales growth slowed in March, as record-high gasoline prices and rising prices for food and shelter forced consumers to cut back on other spending. 
Retail sales grew only 0.5%, from an upwardly revised 0.8% gain in February. That was marginally below analysts' forecasts for a 0.6% increase. Core sales, which exclude automobile purchases, held up somewhat better, at 1.1%. As a result, retail sales were up 6.9% on the year. 
The government's data aren't adjusted for inflation. Consumer prices have risen 8.5% in the last 12 months, so the retail sales number reflects a drop in spending in real terms, consistent with other figures that show many U.S. consumers have now run down the excess savings that they accumulated during the pandemic.
Widespread lockdowns and generous subsidies to households this time last year had created a boom in retail sales that has been slowly subsiding since the economy began to reopen and government stimulus checks came to an end. 
However, the U.S. economy still appears to be in broadly good shape, according to comments from the CEOs of JPMorgan (NYSE:JPM) and  Wells Fargo  (NYSE:WFC) over the last 36 hours. 
That continues to be reflected in data from the labor market, where initial jobless claims ticked up only marginally to 185,000 from last week's 60-year low of 167,000.
New York Federal Reserve President John Williams said to Bloomberg on Thursday that the Fed needs to ""remove the froth"" from the labor market by using monetary policy to bring the level of vacancies - currently near all-time highs at over 11 million - down to a level ""commensurate with maximum employment"".
 
 ",
9,"<span>Apr 14, 2022 07:02AM ET</span>",,,,,,"(Reuters) - Profits at Ma Hong's spicy hotpot restaurant have been squeezed by about a fifth since he opened in downtown Beijing last year, crushed by beef tripe prices that have shot up by more than 50% and the surging costs of other key ingredients.
""We sell it at the same price as before. Also with the impact of the pandemic, everybody is hanging in there. It is the same all over Beijing, we are not the only restaurant suffering,"" Ma said.
Asian restaurants and street food hawkers like Ma's face the tough choice of taking the hit from higher costs or passing them on and risk losing loyal customers.
Spiralling prices for ingredients and material that started with supply chain snags during the COVID-19 pandemic and are now being propped up by the war in Ukraine are squeezing businesses and consumers.
Households in Asia, where tasty and affordable street food is an integral part of society and the economy, are feeling the pressure the most. 
Mohammad Ilyas, a cook at a biryani store in Karachi, Pakistan, said the price of a kilogram of the seasoned rice dish, enough to feed three to four people, has doubled to 400 Pakistani rupees ($2.20). 
""I have been working at this kitchen for the last 15 years,"" he said. ""These days prices of rice and spices have gone up so much that poor people can't afford to eat it.""
Some businesses are dealing with the cost pressures by cutting portion sizes. 
At one of Jakarta’s street food corners, nasi goreng vendor Syahrul Zainullah has reduced his servings of the signature Indonesian fried rice dish rather than raise prices or use lower grade ingredients.
In South Korea, where consumer inflation is at a decade-high, Choi Sun-hwa, a 67-year-old kimchi shop owner, only gets seven heads of cabbage for the price she used to pay for 10.
The spicy fermented cabbage is traditionally served as a free side dish with other meals at Korean eateries, but even that has become an extravagance.
Seo Jae-eun, a customer at Choi's store, quips kimchi should now be called ""keum-chi"", keum being Korean for gold.
""I can't ask restaurants to give more kimchi these days and it's too expensive to make my own at home due to high-priced vegetables...so I came here to buy it,"" she said.
Choi says she won't be able to continue if she can't raise prices.
The price pressures are changing the eating habits of some Asian consumers.
Steven Chang, a 24-year-old service sector worker, is a regular at Just Noodles, a popular ramen store in Taipei but is reconsidering his spending.

""I live away from my parents, so I rely on restaurant food a bit more,"" Chang said. ""So, I will try to limit eating out and cook at home more.""
($1 = 182.8200 Pakistani rupees) 
 
"
