,company,date,title,content
0,By Investing.com,"<span>Apr 09, 2014 07:22PM ET</span>",NYMEX crude oil prices lower in Asia on profit taking,"Investing.com - Crude oil prices fell in Asia Thursday on profit taking after overnight gains of growing tensions between the Ukraine and Russia.
On the New York Mercantile Exchange, West Texas Intermediate crude oil for delivery in May traded at $103.40 a barrel, down 0.20%, after hitting an overnight session low of $102.05 a barrel and a high of $103.43 a barrel.
Brent crude on ICE Futures Europe added 31 cents, or 0.3%, to settle at $107.98 a barrel on Wednesday.
Geopolitical tensions continued to boost oil prices as Ukraine's government stood toe-to-toe with pro-Russian demonstrations in the east of the country.
Russia has warned that use of force against the separatists could drag the country into civil war, and saber-rattling sent oil prices rising on concerns tensions could affect Russian oil shipments.
Russia has downplayed concerns in the Europe and in the U.S. that its troops amassed along the Ukraine border may destabilize the region, while the U.S. insists Russian agents are stirring up trouble in pro-Moscow portions of eastern Ukraine.
Geopolitical concerns offset a bearish U.S. inventory report.
The U.S. Energy Information Administration said in its weekly report that U.S. crude oil inventories rose by 4.03 million barrels in the week ended April 4, surpassing expectations for a build of 1.3 million barrels.
Total U.S. crude oil inventories stood at 384.1 million barrels as of last week.
The EIA said total motor gasoline inventories decreased by 5.18 million barrels, compared to forecasts for a decline of 0.72 million barrels, while distillate stockpiles increased by 0.23 million barrels.
The report came one day after the American Petroleum Institute said U.S. oil inventories rose by 7.1 million barrels last week, well above expectations for an increase of 2.5 million barrels.
Investors were also tracking developments in Libya after government officials and rebels reached an agreement over the weekend to re-open the Zueitina and Hariga ports, which normally export a combined total of 200,000 barrels a day, mostly to Europe."
1,By Investing.com,"<span>Apr 09, 2014 03:02PM ET</span>",Gold shoots up on dovish Fed March meeting minutes,"Investing.com - Gold prices shot up on Wednesday after the minutes from the Federal Reserve's March policy meeting revealed that U.S. monetary authorities voted unanimously to scrap a threshold calling for rate hikes once the unemployment rate hits 6.5%
On the Comex division of the New York Mercantile Exchange, gold futures for June delivery traded at $1,311.10 a troy ounce during U.S. trading, up 0.15%, up from a session low of $1,301.20 and off a high of $1,315.40.
The June contract settled up 0.83% at $1,309.10 on Friday.
Futures were likely to find support at $1,265.00 a troy ounce, the low from Feb. 10, and resistance at $1,343.00, the high from March 21.
The Federal Reserve Board of Governors unanimously voted to scrap its 6.5% threshold at which interest rates would rise once the unemployment rate hits 6.5%.
In the past, the Fed had indicated rates could rise when the unemployment rate hits or approaches 6.5% provided that figure accompanied a 2.5% inflation rate.
Today, the headline unemployment rate stands at 6.7%, not far from the previous threshold, though inflation remains well below 2.5%, prompting the Federal Reserve to do away with its rate-hike target.
""Participants agreed that the existing forward guidance, with its reference to a 6.5% threshold for the unemployment rate, was becoming outdated as the unemployment rate continued its expected gradual decline,"" the minutes read.
""Most participants felt that the quantitative thresholds had been very useful in communicating policy intentions when employment was far from mandate-consistent levels, but, with the economy having moved appreciably closer to maximum employment, the forward guidance should emphasize that the Committee is focusing more on a broader set of economic indicators.""
Gold prices rose on the news while the dollar softened, as Fed Chair Janet Yellen stating that policy must remain accommodative for some time to come, and the March policy meeting minutes reflected that stance.
Meanwhile, silver for May delivery was down 0.94% at US$19.868 a troy ounce, while copper futures for May delivery were down 0.29% at US$3.042 a pound.




"
2,By Investing.com,"<span>Apr 09, 2014 01:53PM ET</span>",Natural gas gains on late-season cool snap,"Investing.com - Natural gas futures rose on Wednesday after updated weather-forecasting models called for below-normal temperatures hovering over parts of the central and eastern U.S. in the coming days, which should hike demand for heating.
On the New York Mercantile Exchange, natural gas futures for delivery in May traded at $4.585 per million British thermal units during U.S. trading, up 1.11%. The commodity hit session high of $4.499 and a low of $4.587.
The May contract settled up 1.30% on Tuesday to end at $4.534 per million British thermal units.
Natural gas futures were likely to find support at $4.22 per million British thermal units, the low from April 2, and resistance at $4.732, the high from March 10.
Forecasts for below-normal temperatures in the U.S. Midwest and Northeast over the next six to 10 days sent natural gas prices rising, as the cold snap should hike demand for heating in homes and offices in the area.
Gains were limited, however, as concerns an eventual return of mild temperatures typical of this time of year will curb demand for both heating and air conditioning.
Elsewhere, supply data remained in focus.
The U.S. Energy Information Administration was set to release its storage data for the week ended April 4 on Thursday, with many analysts expecting the report to show the first build in inventories since November.
Severely cold weather over this past winter saw natural gas stockpiles fall to 11-year lows, sparking concerns that producers may not be able to refill inventories before the next heating season.
Producers typically replenish inventories between April and October, when demand is lower.
The heating season from November through March is the peak demand period for U.S. gas consumption. Approximately 52% of U.S. households use natural gas for heating, according to the Energy Department.
Last week’s government supply data showed that natural gas storage in the U.S. fell by 74 billion cubic feet, much more than the five-year average drop of 8 billion cubic feet for this time of year.
Total U.S. natural gas storage stood at 822 billion cubic feet, the lowest for this time of year since 2003.
Elsewhere on the NYMEX, light sweet crude oil futures for delivery in May were up 0.92% and trading at $103.50 a barrel, while heating oil for May delivery were up 0.48% and trading at $2.9498 per gallon.



"
3,By Investing.com,"<span>Apr 09, 2014 01:30PM ET</span>",Crude gains as Ukraine concerns overshadow U.S. supply report,"Investing.com - Escalating tensions between Ukraine and Russia offset a bearish U.S. stockpile report and sent oil prices rising on Wednesday.
On the New York Mercantile Exchange, West Texas Intermediate crude oil for delivery in May traded at $103.39 a barrel during U.S. trading, up 0.81%. New York-traded oil futures hit a session low of $102.05 a barrel and a high of $103.43 a barrel.
The May contract settled up 2.11% at $102.46 a barrel on Tuesday.
Nymex oil futures were likely to find support at $99.95 a barrel, Monday's low, and resistance at $105.22 a barrel, the high from March 3.
Geopolitical tensions continued to boost oil prices as Ukraine's government stood toe-to-toe with pro-Russian demonstrations in the east of the country.
Russia has warned that use of force against the separatists could drag the country into civil war, and saber-rattling sent oil prices rising on concerns tensions could affect Russian oil shipments.
Russia has downplayed concerns in the Europe and in the U.S. that its troops amassed along the Ukraine border may destabilize the region, while the U.S. insists Russian agents are stirring up trouble in pro-Moscow portions of eastern Ukraine.
Geopolitical concerns offset a bearish U.S. inventory report.
The U.S. Energy Information Administration said in its weekly report that U.S. crude oil inventories rose by 4.03 million barrels in the week ended April 4, surpassing expectations for a build of 1.3 million barrels.
Total U.S. crude oil inventories stood at 384.1 million barrels as of last week.
The EIA said total motor gasoline inventories decreased by 5.18 million barrels, compared to forecasts for a decline of 0.72 million barrels, while distillate stockpiles increased by 0.23 million barrels.
The report came one day after the American Petroleum Institute said U.S. oil inventories rose by 7.1 million barrels last week, well above expectations for an increase of 2.5 million barrels.
Investors were also tracking developments in Libya after government officials and rebels reached an agreement over the weekend to re-open the Zueitina and Hariga ports, which normally export a combined total of 200,000 barrels a day, mostly to Europe.
Elsewhere, on the ICE Futures Exchange in London, Brent oil futures for May delivery were up 0.18%, trading at US$107.87 a barrel, while the spread between the Brent and U.S. crude contracts stood at US$6.17 a barrel.




"
4,By International Business Times,"<span>Apr 09, 2014 12:30PM ET</span>",EU Russian Gas Imports May Plunge 25% By 2020,"By Reuters - Europe is stitching together a patchwork of measures that could reduce its natural gas imports from Russia by over a quarter by the end of the decade as a result of the Ukraine crisis, halting Moscow's tightening grip over the region's energy.
Russia's seizure of Ukraine's Crimea region has chilled political relations between Russia and theEuropean Union, prompting governments across the bloc to look at ways to cut demand, find alternative supplies and switch to other fuel sources such as coal and renewables.
Reuters calculations suggest these steps could slash imports from Russia by around 45 billion cubic meters (bcm) by 2020, worth $18 billion a year, equivalent to a quarter of what Russia currently supplies.
Past hopes of loosening Moscow's grip have been dashed, not helped by Germany's decision to give up on nuclear power, with Russia's share of EU supplies rising 10 percentage points to over a third since 2010, and before the current crisis Russia's gas share in Europe was expected to remain stable at current levels.
The crisis in Ukraine has shaken policymakers awake across Europe's capitals, and several emergency meetings over energy security have been held in the past weeks.
""We are serious about reducing our energy dependency ... We need a new way to do energy business,"" said European Council President Herman Van Rompuy, who represents EU governments in Brussels.
At the forefront of these plans are Germany and Italy, Russia's biggest gas clients in the EU, but also Poland.
German Chancellor Angela Merkel said in late March that ""energy policy will have to be newly considered"".
Germany is Europe's biggest gas user and Russia's most important customer, using over 80 bcm of gas a year and meeting around a third of its demand through imports from Gazprom, a share that has steadily risen over the past 20 years.
 "
5,By International Business Times,"<span>Apr 09, 2014 11:30AM ET</span>","For The Sake Of Oil, China Enters South Sudan Fray","By Jacey Fortin - GAMBELA, Ethiopia -- Rebel fighters in South Sudan have set their sights on a new target: oil. Their tactics are putting the interests of the world's second-largest economy at risk.
All of the crude currently flowing from South Sudan is produced in government-held territory in Upper Nile State, and opposition leader Riek Machar says his fighters are mobilizing to occupy the Paloch oil fields there. A successful offensive would not only curtail revenues for South Sudan's government; it would also threaten China's stake in crude production.
That's why China is pursuing a new strategy in South Sudan's conflict. Beijing is typically known for its non-interventionist policies in Africa, where Chinese companies invest copiously and without much concern for who is in power. But even before the rebels set their sights on Paloch, China had been partnering with Western and African mediators in an attempt to bring peace to the world's youngest country, where the two largest ethnic groups have been pitted against each other in an increasingly bloody showdown.
Machar says that a rebel push towards the Paloch oil fields is long overdue; he objects to President Salva Kiir using those oil revenues to fund government troops. Machar, who served as vice president until his sacking in July, wass accused of plotting a coup against Kiir, late las year. He fled the capital Juba in December, and has since become the nominal leader of the rebellion.
The conflict has deep roots; South Sudan's ruling party, the Sudanese People's Liberation Movement, or SPLM, and its army, the SPLA, suffered from internal divisions even before the nation achieved formal independence from Sudan in 2011. The rebels, who call themselves the SPLM/A in Opposition, argue that Kiir's government has squandered oil revenues – which make up about 98 percent of the national budget – and failed to tolerate criticism or reform within the party.

Machar says he doesn't want to shut down oil production in Upper Nile State, suggesting instead that funds from rebel-held oilfields be put into an escrow account that Kiir cannot access. “Meanwhile the oil companies would be paid their dues and Sudan, who owns the pipelines, would be paid their dues, and also the tariffs -- we would also pay them,” he said in an interview at his hideout in remote South Sudan. “An international consortium can be formed to supervise this matter.”
But if the opposition succeeds in taking Paloch, it is unlikely that China would participate in the escrow account Machar proposes, says Luke Patey, and analyst with the Dutch Institute for International Studies and the author of ""The New Kings of Crude: China, India, and the Global Struggle for Oil in Sudan and South Sudan.""
“That would be very much intervening in favor of the opposition side; it would be quite a drastic move, and not a smart one either,” Patey said. “China wants to help the South Sudanese government and the opposition sort out their differences.”

Efforts to do just that began shortly after the conflict erupted in December. Chinese Foreign Minister Wang Yi told journalists in Addis Ababa, Ethiopia, on Jan. 6 that a representative of the Chinese government was visiting the region and talking to both sides. “While I'm in Addis, if it's possible and under the auspices of my Ethiopian friends, I'm ready to directly engage the two parties, and that I believe is also my responsibility,"" he added.
Since then, China has been a key player in the ongoing mediation. Its exhortations to both sides to restore peace and stability are hardly controversial, but its presence at the negotiation table signifies an emerging trend – one that China has been hinting at for years. In 2008, for instance, Beijing broke protocol to step up its rhetoric against Sudan regarding the crisis in Darfur, though only after China was criticized for maintaining investments in, and selling weapons to, Sudan. China has also offered to mediate oil-related disputes between Sudan and South Sudan several times since the latter gained independence.
Now, an internal conflict in South Sudan is giving Beijing another theater to try out its new tactic. South Sudan's future will depend on its partnership with China; the China National Petroleum Corporation, or CNPC, is the biggest shareholder in South Sudan's operation companies, and China was importing about 77 percent of South Sudan's crude before the conflict began. Should his opposition forces prevail in South Sudan's civil war, Machar said he has no intention of changing that. “It's an open market,” he said.
Open or not, South Sudan's market hasn't been an attractive one of late -- even for China. South Sudan took 75 percent of Sudan's oilfields when it achieved formal independence in 2011. It now has the third-largest oil reserves in sub-Saharan Africa, but still relies on its northern neighbor for the pipelines to get its crude to market. A row between Juba and Khartoum over pipeline fees and border disputes led to a 14-month shutdown beginning in early 2012. That year, according to the U.S. Energy Information Administration, crude from South Sudan made up only 1 percent of China's total crude imports. In 2011, South Sudan's crude accounted for 5 percent of Chinese oil imports.
South Sudan's oil is flowing today, but conflict has taken its toll. It has delayed plans to build two major refineries in oil-producing states, and the oil ministry revealed in February that production had fallen to 165,000 barrels per day -- about half the country's total potential output according to government estimations.

That won't have a significant effect on China's oil security; the world's most populous country consumed about 10.7 million barels per day last year, making South Sudan's contribution, or lack thereof, a drop in the bucket. But oil isn't all that's at stake in South Sudan, which is why Beijing has endeavored to turn up the heat in its response to the crisis, even if only from cool to lukewarm.
“It's not just about oil; the Chinese government wants not only to protect its investment, but also wants to protect its global image,” said Patey. “By turning up the volume diplomatically, China is responding to pressure from the South Sudanese government to be more active, pressure from Western governments to be more active, and pressure from domestic constituencies to protect Chinese interests overseas.”
Though China appears steadfast in its determination not to pick sides in the current conflict, its role in mediation could mark a turning point for the world's second-largest economy. CNPC and other Chinese companies involved in high-risk states may prefer to keep investments separate from politics -- but when oil fields become a key target for two sides in a violent conflict, that hands-off approach could become increasingly untenable.
"
6,By Investing.com,"<span>Apr 09, 2014 10:42AM ET</span>",Crude oil little changed after U.S. supply data,"Investing.com - Crude oil futures little changed on Wednesday after U.S. inventories data showed that crude stockpiles rose far more-than-expected last week, as ongoing tensions over Ukraine supported prices.
On the New York Mercantile Exchange, crude oil futures for delivery in May were trading at $102.54, dipping 0.02%. Prices were at $102.64 a barrel prior to the release of the supply data.
Brent oil for May delivery was up 0.23% to $107.91 a barrel on the ICE Futures Exchange in London, while the spread between the Brent and U.S. crude contracts stood at $5.37 a barrel.
The U.S. Energy Information Administration said in its weekly report that U.S. crude oil inventories rose by 4.03 million barrels in the week ended April 4, compared to expectations for a build of 1.3 million barrels.
Total U.S. crude oil inventories stood at 384.1 million barrels as of last week.
The EIA said total motor gasoline inventories decreased by 5.18 million barrels, compared to forecasts for a decline of 0.72 million barrels, while distillate stockpiles increased by 0.23 million barrels.
The report came one day after the American Petroleum Institute said U.S. oil inventories rose by 7.1 million barrels last week, well above expectations for an increase of 2.5 million barrels.
Heightened geopolitical risk continued to underpin oil prices as Ukraine's government continued to fight pro-Russian demonstrations in the east of the country. Russia has warned that use of force against the separatists could drag the country into civil war.
Investors were also following developments In Libya after government officials and rebels reached an agreement over the weekend to re-open Zueitina and Hariga ports, which normally export a combined total of 200,000 barrels a day, mostly to Europe.
"
7,By Investing.com,"<span>Apr 09, 2014 09:46AM ET</span>","Natural gas ticks lower, inventory data in focus","Investing.com - Natural gas futures slipped lower on Wednesday as investors looked ahead to upcoming U.S. inventories data, but losses were checked as forecasts for cooler spring weather continued to underpin the demand outlook.
On the New York Mercantile Exchange, natural gas futures for delivery in May traded at $4.517 per million British thermal units during U.S. trading, down 0.39%.
Natural gas futures were likely to find support at $4.432 per million Btu, Monday’s low and resistance at $4.626, the high of March 12.
The U.S. Energy Information Administration was set to release its storage data for the week ended April 4 on Thursday, with many analysts expecting the report to show the first build in inventories since November.
Severely cold weather over this past winter saw natural gas stockpiles fall to 11-year lows, sparking concerns that producers may not be able to refill inventories before the next heating season.
Producers typically replenish inventories between April and October, when demand is lower.
The heating season from November through March is the peak demand period for U.S. gas consumption. Approximately 52% of U.S. households use natural gas for heating, according to the Energy Department.
Last week’s government supply data showed that natural gas storage in the U.S. fell by 74 billion cubic feet, much more than the five-year average drop of 8 billion cubic feet for this time of year.
Total U.S. natural gas storage stood at 822 billion cubic feet, the lowest for this time of year since 2003.
Meanwhile, forecasts were calling for colder-than-average temperatures in the Midwest and Northeast during the next six to 10 days, which could underpin demand for the heating fuel.
Elsewhere on the NYMEX, crude oil futures for delivery in May edged up 0.10% to $102.66 a barrel, while heating oil contracts for May delivery rose 0.21% to $2.9408 per gallon.
"
8,By International Business Times,"<span>Apr 09, 2014 06:15AM ET</span>",The State Of Ukraine's And Russia's Grain Markets ,"By Connor Adams Sheets - As the crisis between Ukraine and Russia drags on with no resolution in sight, both nations’ grain sectors seem to be weathering the storm without major disruptions.
Corn and wheat prices rose in both countries in the beginning of March as observers around the world predicted that uncertainty in Ukraine would disrupt Black Sea shipping and forecast greatly diminished crops of corn and wheat, of which both Ukraine and Russia are leading producers. These projections contributed to a spike in global grain prices.
But prices of the key commodities have leveled off in recent weeks, a development that reflects waning anxiety over Ukraine and Russia’s 2014 agricultural output, and their ability to deliver wheat and corn to consumers.
“Cash prices of Russian and [Ukrainian] wheat [were] up as much as $10 a ton over the last two weeks of March,” Roy Huckabay, executive vice president at the Chicago-based Linn Group, explained via email. “Over the last week the values set back $3 to $4. Corn never rallied that much -- more like $3 to $5 -- and has set back last week to about where it all started.”
As the world’s fourth-largest corn exporter and sixth-largest wheat exporter as of last year, Ukraine is a major driver of international grain markets, as is Russia, which clocks in as the seventh-largest corn exporter and fifth-largest wheat exporter. Because the two nations play such a vital role in supplying the world with food, news that Russia was dispatching military forces to Crimea in late February and early March initially had market watchers and investors wringing their hands.
“The market really anticipated that we [the U.S.] would have increased export potential when the news first broke. The market anticipated that exports would increase from the U.S. to European countries … as a result of the combination of the unrest and sanctions,” Brian Hoops, president and senior market analyst at the Missouri-based Midwest Market Solutions Inc., explained via phone.  “It wasn’t anything specific that happened; it was more of a perception that those countries would not be able to ship wheat and that the U.S. would get some of that export business.”
But that sense of trepidation has eased recently, a fact that was reflected in the dropoff of wheat prices over the past two weeks and the relative stabilization of the corn market since the initial jump in early March.
The renewed sense of faith in these key agricultural markets is rooted in a widespread sense that since corn and wheat are currently trading at relatively high prices, there is sufficient incentive for close-to-normal yields to be produced this year in Ukraine and Russia.
“The Black Sea shipping has been uninterrupted, so that’s a plus, and that was the first concern. The second one is we can ship it, now can we grow it? I think the feeling for the most part, with the value of grain at the current price -- pretty lofty but down from where it was -- is that it’s still going to get planted,” Don Roose, president of Iowa-based U.S. Commodities Inc., said via phone.
“Most people are going to try to plant for the profitability that’s there despite the uncertainty. I think things have kind of calmed somewhat … so with the tensions easing that has eased some of the concerns of some of the producers.”
Not all observers are as confident in the ability of the ex-Soviet nations’ grain markets to weather the crisis. Art Durnev, a finance professor at the University of Iowa’s Tippie College of Business who grew up in the Soviet Union and Russia and is considered an expert on the region, believes that the situation remains more fluid.
“It’s hard to say. There’s a lot of uncertainty there right now, and if it continues there is a lot of potential impact on the agricultural markets there,” Durnev said via phone. “The prices will continue to increase until there is some stability in that region. … It’s all pretty much a day-by-day situation there right now.”

Still, most experts have tempered the dire predictions for grain markets voiced by some after the Russian seizure of key buildings in the Crimean capital, Simferopol, on Feb. 27 and 28, and the markets have leveled off as farmers get ready to plant for the 2014 growing season.
“There’s still a little bit of concern, but because there hasn’t been any express news in a couple of weeks, it has kind of moved away from being a major pricing influence,” Hoops said, adding that “we want to see if there’s any new political unrest that comes out of these markets.”
In fact, the all-important weather outlook has replaced the political crisis as the dominant concern for Ukraine’s grain markets, according to Roose.
“I think probably knowing what we know about the Ukrainian-Russian turmoil -- and it still is bubbling a bit -- we’ve kind of matured to a level where we’ve kind of calmed,” he said. “But I think what we’re really watching is what the weather is in some of these areas. It’s been dry in Ukraine.”"
9,By Investing.com,"<span>Apr 09, 2014 05:43AM ET</span>", Gold prices holding near 2-week highs,"Investing.com - Gold prices were holding close to their highest level in two weeks on Wednesday, as heightened tensions over Ukraine underpinned safe haven demand for the precious metal.
On the Comex division of the New York Mercantile Exchange, gold for June delivery was last up 0.08% to $1,310.20. On Tuesday, gold rose to highs of $1,314.70, the strongest since March 26, on the back of a weaker dollar and growing concerns over Ukraine.
Heightened geopolitical risk continued to underpin gold prices as Ukraine's government fought pro-Russian demonstrations in the east of the country. For its part, Russia has warned that use of force against the separatists could drag the country into civil war.
Gold, seen as a safe haven investment, usually benefits from economic and geopolitical turmoil.
Signs of increased physical demand from top buyer China also supported gold prices. The Shanghai Gold Exchange saw spot gold prices rise by $1 an ounce for the first time since early March on Wednesday.
The US Dollar Index remained close to three-week lows ahead of the minutes of the Federal Reserve’s March meeting due out later in the trading day, after last week’s U.S. payrolls report came in slightly below expectations.
Fed Chair Janet Yellen said recently that slack in labor markets showed accommodative policies will still be needed for some time.
Elsewhere, in metals trading, silver for May delivery was down 0.66% to $19.925 a troy ounce, while copper for May delivery fell 0.43% to trade at $3.038 a pound.
"
