,company,date,title,content
0,By Investing.com,"<span>Nov 20, 2016 06:22AM ET</span>",Gold / Silver / Copper futures - weekly outlook: November 21 - 25,"Investing.com - Gold prices fell to the lowest level since May on Friday as the dollar rallied to almost 14-year highs amid a rally driven by the U.S. presidential election and expectations that the Federal Reserve will raise interest rates next month.
Gold for December delivery on the Comex division of the New York Mercantile Exchange hit lows of $1,202.05 a troy ounce and settled down 0.74% at $1,207.9, the lowest close since June 3.
Gold prices were pressured lower as the dollar continued to surge following the outcome of the U.S. presidential election, tracking rising U.S. Treasury yields amid expectations that President-elect Donald Trump’s plans to ramp up fiscal spending and cut taxes will spur economic growth and inflation.
Faster growth would spark inflation, which in turn would prompt the Fed to tighten monetary policy a faster rate than had previously been expected.
The U.S. dollar index, which measures the greenback’s strength against a trade-weighted basket of six major currencies, was at 101.41 late Friday, its highest close since April 2003.
Gold is priced in dollars and becomes more expensive for holders of other currencies as the dollar rises.
The dollar rally has also been boosted by bets that the U.S. central bank will almost certainly raise interest rates next month.
Fed Chair Janet Yellen on Thursday reiterated that a rate hike “could well become appropriate relatively soon.”
Investors have assigned a 95.4% chance of a rate hike at the Fed's December meeting; according to federal funds futures tracked Investing.com's Fed Rate Monitor Tool.
Gold is sensitive to moves in U.S. rates, which lift the opportunity cost of holding non-yielding assets such as bullion, while boosting the dollar in which it is priced.
Also on the Comex, silver futures for December delivery settled down 1.32% at $16.55 a troy ounce, having fallen to its lowest level since June 8 at $16.43 earlier.
Elsewhere in metals trading, copper for December delivery settled at $2.46 a pound on the Comex.
In the week ahead, trade volumes are expected to remain light around Thursday's U.S. Thanksgiving holiday and Friday's shortened trading session.
The U.S. is set to release data on durable goods orders, jobless claims and new home sales ahead of the holiday, on Wednesday.
Ahead of the coming week, Investing.com has compiled a list of these and other significant events likely to affect the markets.
Monday, November 21
Canada is to publish data on wholesale sales.
European Central Bank President Mario Draghi is to testify about the bank's Annual Report before the European Parliament, in Strasbourg.
Tuesday, November 22
New Zealand is to publish data on retail sales.
The UK is to report on public sector borrowing.
Canada is to release data on retail sales.
The U.S. is to produce a report on existing home sales.
Wednesday, November 23
Financial markets in Japan will remain closed for a holiday.
New Zealand is to report on producer price inflation.
In the UK, Chancellor Philip Hammond will present his autumn budget statement to parliament on Wednesday.
The euro zone is to release survey data on private sector activity.
The U.S. is to release data on durable goods orders, initial jobless claims, new home sales and a revised report on consumer sentiment.
Later in the day, the Fed is to publish the minutes of its November meeting.
Thursday, November 24
The Ifo Institute is to release data on German business climate.
Financial markets in the U.S. are to remain closed for the Thanksgiving holiday.
Friday, November 25
Japan is to release data on consumer price inflation.
The U.K. is to round up the week with revised data on third quarter growth."
1,By Reuters,"<span>Nov 19, 2016 06:29AM ET</span>",Oil may rise to $55 if all producers cooperate: Iran,"DUBAI (Reuters) - Iranian Oil Minister Bijan Zanganeh expressed optimism on Saturday about an upcoming OPEC meeting and said crude prices could jump to $55 a barrel if an agreement is reached and non-OPEC producers cooperate.
""We are receiving positive signals that increase the likelihood of agreement at the meeting ... and I'm optimistic about the situation,"" Zanganeh told state television by telephone, after meeting OPEC Secretary-General Mohammed Barkindo in Tehran ahead of the Nov. 30 meeting.
""I think if we can reach an agreement, God willing, the price would rapidly reach above $50 per barrel ... If non-OPEC (producers) also cooperate, I don't think $55 per barrel would be out of reach."" 
Benchmark Brent crude rose by 37 cents to $46.86 per barrel on Friday. 
Asked about an OPEC proposal for an output cap of 3.92 million barrels per day for Iran, Zanganeh said: ""We have not reached any agreement. We have expressed our views and we look forward to explaining them.""
The Organization of the Petroleum Exporting Countries is moving closer toward finalizing its first deal since 2008 to limit oil output, with most members prepared to offer Iran significant flexibility on production volumes, ministers and sources said on Friday. 
Iran has been the main stumbling block for such a deal because Tehran wants exemptions as it tries to regain oil market share after the easing of Western sanctions in January.

 
"
2,By Reuters,"<span>Nov 18, 2016 05:49PM ET</span>",Developer says Dakota Access pipeline will not be rerouted: AP,"WASHINGTON (Reuters) - Energy Transfer Partners LP Chief Executive Officer Kelcy Warren said the company will not consider rerouting its Dakota Access oil pipeline despite concerns voiced by U.S. native groups, according to an Associated Press interview published on Friday.
President Barack Obama said earlier this month that the government was examining ways to reroute the pipeline.
Energy Transfer did not immediately respond to calls and emails seeking comment. Warren did tell the AP that he would like to meet with tribal leaders to ease their concerns about the project.
The Dakota Access Pipeline has been delayed since September, when federal regulators including the Army Corps of Engineers decided to re-review permitting under Lake Oahe, a federally owned parcel of land where the pipeline needs to cross.
The stoppage came after protests from the Standing Rock Sioux tribe, whose reservation is adjacent to the federal land where the pipeline runs. The U.S. Army Corps of Engineers elected to review their permitting again, and this past week deferred a decision, citing concerns about the tribe having been moved off its lands in the past.
On Friday, North Dakota Governor Jack Dalrymple asked the Army to resolve the permitting issues, citing protests that have sometimes turned violent at Cannon Ball, where the Standing Rock Sioux have erected a large camp that they plan to man throughout the winter. He also asked for assistance in law enforcement from federal authorities.
“Further delays simply prolong the risks to public safety, prolong the hardships endured by area residents and increase costs incurred by the state of North Dakota and Morton County,"" he said in a statement.
The 1,172-mile (1,885-km) pipeline is expected to take oil from North Dakota's Bakken shale region to Patoka, Illinois, en route to the Gulf of Mexico.
Production in North Dakota has been declining, however, in part because of low oil prices and the crude there is more expensive to extract than other regions, and also because of the limited transport opportunities by pipeline.
Production in North Dakota fell to 972,000 barrels daily in September, lowest since February 2014, according to latest state data.
ETP crews have been moving equipment in recent weeks to the edges of Lake Oahe; the company has said it will begin tunneling under the lake once it is finished. It does not yet have the permit to do so, however.

(Story corrects spelling of Patoka, Illinois, in paragraph 8.)
"
3,By Reuters,"<span>Nov 18, 2016 02:54PM ET</span>",Obama administration bars new oil exploration in Arctic waters,"By Timothy Gardner
WASHINGTON (Reuters) - The Obama administration on Friday blocked new exploration for oil and gas in Arctic waters, in a win for environmental groups that had fought development of the ecologically fragile region.
The Department of the Interior released a 2017 to 2022 leasing plan that blocked drilling in the Chukchi and Beaufort Seas off northern Alaska. It also limited petroleum development in the Cook Inlet off south-central Alaska. 
Environmental activists have battled drilling in Alaska to protect whales, walruses and seals, and as part of a broader movement to keep remaining fossil fuels in the ground.
The Interior Department said the plan was ""balanced,"" and left 70 percent of economically recoverable oil and gas resources open to drilling, mostly in the Gulf of Mexico.
The plan focuses on the best areas ""with the highest resource potential, lowest conflict and established infrastructure - and removes regions that are simply not right to lease,"" Interior Secretary Sally Jewell said. 
President Barack Obama, who last year became the first sitting president to cross the Arctic Circle, has made fighting climate change and protecting the Arctic priorities in his administration.
But President-elect Donald Trump, a Republican who takes office on Jan. 20, 2017, has vowed to open resources to petroleum development and could take steps to reverse the decision.
Oil interests have pressured the administration to explore for energy in the Arctic. Jack Girard, the head of the American Petroleum Institute industry group, said the decision ""puts the U.S. at a serious competitive disadvantage.""
Russia and Norway have also explored the Arctic, though   Exxon Mobil   (NYSE:XOM) wound down drilling in the Russian north in 2014 due to U.S. sanctions over Moscow's aggression in eastern Ukraine.
Fierce winds and frigid waters make the Arctic treacherous for drilling equipment. After spending billions of dollars to explore the Alaskan Arctic, Royal Dutch Shell (LON:RDSa) retreated in 2015 after suffering a gash in one of its ships and environmentalists had uncovered details of an old law that forced the company to cut exploration there by half. 
The U.S. Coast Guard complained when Shell was drilling off Alaska that it had been forced to divert resources, including a vessel that fought cocaine trafficking, to keep operations in the region safe. (http://reut.rs/2g4yHSW)
Environmentalists applauded the new lease plan, which built on a similar decision in March when the government removed much of the Atlantic ocean from oil and gas leasing for five years.
""This is excellent news for our oceans, from the Arctic to the Atlantic,"" said Jacqueline Savitz, deputy vice president for U.S. campaigns of Oceana, an international advocacy group.
 
"
4,By Reuters,"<span>Nov 18, 2016 10:58AM ET</span>",Iraq's oil contracts make joining OPEC output cut more painful,"By Ahmad Ghaddar and Ahmed Rasheed
LONDON/BAGHDAD (Reuters) - Iraq would have to compensate international oil companies for limits placed on their production, according to industry sources and documents seen by Reuters, further reducing the prospect it will join any OPEC deal to curb the group's output.
The compensation - stipulated in contracts - would compound the financial hit of losing much-needed revenue from crude sales, if the cash-strapped country were to yield to OPEC entreaties to curtail national production.
OPEC member Iraq pays developers a fixed dollar-denominated fee for every barrel of oil produced in the south of the country - home to its biggest reserves - under technical service contracts agreed between the international firms and the state-owned South Oil Company (SOC).
""Immediately after (an) SOC notice of ... production curtailment, the parties shall agree ... a mechanism to promptly fully compensate (the) contractor as soon as possible,"" according to an excerpt of the contract the ministry signed with  BP  (LON:BP) in 2009 for the company to develop the 20-billion-barrel Rumaila field.
The compensation, according to the excerpt seen by Reuters, ""may include, amongst other things, a revised field production schedule or an extension to the term or payment of all or part lost income to contractor"".
Britain's BP declined to comment.
The same clause also applies to other fields covered by the technical service contracts in the south, including fields being developed by Anglo-Dutch firm Shell (LON:RDSa), U.S. major  Exxon Mobil  (NYSE:XOM) and Italy's Eni, according to industry sources. 
A Shell spokeswoman said it did not comment on contracts. Exxon declined to comment and Eni did not immediately reply to a request for comment.
A senior oil official with SOC told Reuters the country would not have to worry about curtailment clauses because it had no plans to limit production. 
""On the contrary, we're encouraging the foreign companies to raise production as much as they can,"" said the official, who declined to be named as they are not authorized to speak publicly.
'EVERY DOLLAR NEEDED'
The Organization of the Petroleum Exporting Countries agreed in Algiers in late September to limit its collective output to 32.5-33 million barrels per day (bpd). The group's production hit a record 33.64 million bpd in October. 
Iraq has asked to be exempted from output curbs, arguing it is still trying to regain market share lost when sanctions were imposed in the 1990s during the Saddam Hussein era, and that it needs to keep up a costly battle against Islamic State.
""OPEC must submit to the fact that Iraq must stay away from any possible output cut deal because the country is in the middle of a tough war and every single dollar is needed to keep it standing on its feet,"" a senior government official close to Prime Minister Haider al-Abadi told Reuters.
Iraq put its output at 4.77 million bpd in October and said it would not go back to below 4.7 million bpd.
""Not for OPEC, not for anybody else,"" said Falah al-Amri, Iraq's OPEC governor and head of the country's state marketer SOMO.
There is, however, no certainty over how the discussions will play out at an OPEC meeting on Nov. 30. 
As a consequence, the Iraqi oil ministry and oil companies will not be able to finalize their 2017 spending plans until after the meeting, to have enough clarity on what route Iraq will take on its near-term production ambitions, an industry source told Reuters. 
Iraq has been making great efforts to ensure it pays its dues to oil firms promptly and oil minister Jabar Ali al-Luaibi has made boosting production in the country a priority. 
""[Iraq] is one of the countries in the region that doesn't have large foreign reserves, so will want to continue to maximize its revenue,"" said Jessica Brewer, Middle East upstream oil analyst at UK-based consultancy Wood Mackenzie.
She added that while most Middle Eastern OPEC members had all or most of their production operated by national oil companies, Iraq was one of the few that relied on international oil companies for the majority of its output. 

 
"
5,By Reuters,"<span>Nov 18, 2016 10:57AM ET</span>",Can Trump make coal great again? At least some companies think so,"By Timothy Gardner
WASHINGTON (Reuters) - Most of the U.S. coal industry doubts Donald Trump can fulfill his promise to make the ailing industry great again in a country awash in dirt-cheap natural gas, a competing fuel. 
But a small sub-section of the coal sector that mines metallurgical coal - a variety used by steel makers instead of power plants - is gearing up for a Trump-inspired boom.
That’s because the Republican president-elect has promised a spending surge for roads, bridges and tunnels after he takes office on Jan. 20, a push to upgrade America's infrastructure with the support of leading Democrats that could jolt demand for metallurgical coal from American steel mills. Prices for met coal, as it is called, have already risen in recent months on lower supply from China.
""This is the best news that Appalachia as a whole has had in about 10 years,"" said Jason Bostic, a vice president at the West Virginia Coal Association, referring to Trump’s infrastructure agenda. ""Suddenly there’s a little bit of hope here.""
Corsa Coal Corp, a producer of met coal based in Pennsylvania, was already encouraged by the China-driven price spike before Trump’s victory. Now it believes U.S. politics are going its way too.
""The thing that has got me the most excited is the potential for infrastructure spending,"" said George Dethlefsen, Corsa's chief executive. ""All those things are very energy- and steel-intensive, and that's good for our business.""
The company plans to boost its production of met coal by 70 percent in 2017 to around 1.2 million short tons. In the meantime, it is putting mines on a six-day-a-week schedule, up from four days, and it is looking at loading coal on its midnight shift, which it normally reserves for maintenance.
Arch Coal Inc, which produces both met and steam coal used in power plants, said it was also optimistic about Trump, particularly his promise to roll back regulations. But other representatives of the steam coal industry have said regulation reversals may not overcome their main problem: plentiful and cheap natural gas following a decade-long hydraulic fracturing drilling boom.
National production figures for met coal are unavailable, since the government does not break the data out. But total U.S. coal production has fallen to its lowest level since 1986, costing the industry thousands of jobs, as low natural gas prices and President Barack Obama's emissions and water regulations took their toll.
Met coal prices, however, reflect the coal sector's only major sign of life this year. They have risen to above $270 a metric ton this month from lows of $70 a ton in February, driven in part by China reducing its output.
Corsa and Arch are among a very small number of U.S. met coal producers that are publicly traded, with most of the others small and privately owned. Alpha Natural Resources, which emerged from bankruptcy in July, declined to comment. 
INFRASTRUCTURE BANK
Trump's transition team is weighing an ""infrastructure bank"" to make investments in projects as part of an economic focus that also includes revamping taxes and regulation, a Trump adviser said this week.
Democrats, including Senate Democratic leader Chuck Schumer and House Minority leader Nancy Pelosi, have indicated they hope to work quickly with Trump on infrastructure. But whether they will succeed is far from certain, as many Republicans oppose spending bills.
Ramaco, a private company, announced in September it will open two met coal mines in West Virginia and Virginia next year, thanks to $90 million in private equity investments that came in as global met coal prices swung upward.
Randy Atkins, the chairman and chief executive of Ramaco, said adding new mines was possible if Trump's U.S. infrastructure push succeeds but would depend on whether additional investors flock in to fund them.
Banks and financial institutions are sensitive to recent bankruptcies of major coal companies - including Arch and Peabody Energy Corp - and the weak financial conditions of others, Atkins said.
Jim Truman, the director of global metallurgical coal markets at research group Wood Mackenzie, said the specialized workers that would be required, such as underground electricians, could also be hard to find given coal's downturn since 2008.
Phil Smith, a spokesman for the United Mine Workers of America, said the other key to the U.S. met coal industry's outlook is whether new infrastructure relies on American-made steel and coal as Trump has promised.

""If we are importing the coal or importing steel made with foreign coal, then it won't make any difference for American miners,"" Smith said.
 
"
6,By Reuters,"<span>Nov 18, 2016 09:35AM ET</span>",Exclusive: Glencore seeks $550 million to raise stakes in Kurdish oil game,"By Dmitry Zhdannikov
LONDON (Reuters) -  Glencore  is seeking to raise $550 million from investors via a debt issue guaranteed by oil from Iraqi Kurdistan in an attempt to secure a big slice of the high-risk - and high-reward - market in a region at war with Islamic State.
Kurdish oil has been targeted by European traders over the past two years, during an industry downturn, since Erbil began selling oil independently from Baghdad. It has been relatively cheap due to the potential for supply disruptions and threats from Iraq's central government to sue anyone touching the crude.
The government of the autonomous Kurdish region in Erbil has borrowed around $2 billion from Glencore's rivals such as Vitol, Petraco and Trafigura to be repaid in oil. The companies have all borrowed money from banks and lent it to Erbil at their own risk. 
Glencore (L:GLEN), whose commodity trading division has been under pressure to perform as mining profits have declined, was the last merchant to enter the game earlier this year by lending $300 million to Erbil. The loan is being repaid by way of one mid-sized oil cargo a month, worth around $25 million.
Now the company is seeking a much bigger role in the region, but wants to split the risks by selling debt notes to be repaid with Kurdish oil income, according to a prospectus seen by Reuters. 
Technically, the money would be raised by a special-purpose vehicle, says the document which has been sent to a small number of investors who specialize in high-risk markets.
It says Glencore expects to enter into a new 5-year agreement with the government of Kurdistan to buy its crude, with deliveries rising from one cargo in January, to two in February-March, four in April and six from May onwards.
Six cargoes a month would represent a quarter of overall exports from Kurdistan and would be worth over $1.7 billion a year at today's price of around $40 per barrel for Kurdish oil, and more than $8 billion over the course of five years.
Glencore declined to comment.
The risks of investments linked to Kurdish crude is reflected in the high returns offered in the debt issue.
Glencore's planned five-year note would carry an interest rate of 12 percent, according to the prospectus. That contrasts sharply with its other borrowings - it is currently buying back bonds carrying rates of 2.5 percent to 3.125 percent.
The company is also seeking a 36-month grace period before it starts repaying the debt in monthly installments, another reason why investors might expect a high return.
MILITANT ATTACKS
While Glencore and rivals have loaned money to Erbil, sources have previously told Reuters, they have never publicly acknowledged such deals for fears of confronting the Iraqi central government, which says the Kurds have failed to respect deals to transfer agreed volumes of oil to Baghdad.
Baghdad has softened its tone on Erbil in recent months as they wage a joint battle against Islamic State, but Iraqi state oil firm SOMO still occasionally threatens to sue buyers and sellers of Kurdish crude.
Kurdistan exports its oil via the Turkish Mediterranean port of Ceyhan. Flows have been running at over 600,000 barrels per day since September after being occasionally disrupted in 2015 and at the start of this year due to militant attacks in Turkey and Kurdistan.
Glencore says in its prospectus that, at today's oil prices, the value of oil that it will receive under its new 5-year contract with Kurdistan will be over six times bigger than the $550 million debt issue.
But it also warns that disruption of deliveries ""may lead to deferral of monthly interest payments and principal"". It adds, however, ""that historical recovery track record for Glencore of these types of oil-backed facilities is exceptional"".
Glencore has been pre-financing oil exports from difficult places for decades since it was set up by the godfather of oil trading Marc Rich in the 1970s.
Such transactions do occasionally face setbacks like in the case of Moroccan refiner Samir, where several trading houses including Glencore lost hundreds of millions of dollars last year.
Glencore said it would hold a minimum of 10 percent of the notes at all times following the issue.
The move to secure larger volumes of oil from Kurdistan might put pressure on its rivals Vitol, Petraco and Trafigura which are renegotiating their contracts for 2017.

Vitol has so far been the largest buyer, with Petraco second and Trafigura and Glencore third and fourth respectively.
(Reporting and writing by Dmitry Zhdannikov; Editing by Pravin Char) 
"
7,By Investing.com,"<span>Nov 18, 2016 07:52AM ET</span>",Oil mixed as dollar rally outweighs OPEC output cut hopes,"Investing.com - Oil was mixed Friday as the strengthen of the dollar outweighed hopes for an OPEC output cut.U.S. crude was down 5 cents, or 0.11%, at $45.37 a barrel at 07:00 ET, while Brent crude gained 0.37% to $46.66.Some OPEC members are reportedly due Friday to hold informal talks in Doha on a planned cut in the cartel's output to 32.5-33 million barrels a day.Non-OPEC member Russia may join the talks.OPEC is due to hold a formal meeting in Vienna on November 30. A cut of the planned scope would do little to reduce a persistent supply glut.A higher dollar pushes up the cost of oil imports for non-U.S.-denominated countries. The dollar indexwas above 101.Baker Hughes U.S. rig count figures are due for release later in the session."
8,By Reuters,"<span>Nov 18, 2016 07:35AM ET</span>",OPEC moves closer to oil output deal as Iran gets new offer,"By Rania El Gamal, Tom Finn and Katya Golubkova
DOHA (Reuters) - OPEC is moving closer toward finalizing this month its first deal since 2008 to limit oil output, with most members prepared to offer Iran significant flexibility on production volumes, ministers and sources said on Friday.
Iran has been the main stumbling block for such a deal because Tehran wants exemptions as it tries to regain oil market share after the easing of Western sanctions in January.
Iran's rival Saudi Arabia, the biggest producer in the Organization of the Petroleum Exporting Countries, has argued Iran's output has peaked and it should not be granted major concessions.
On Friday, several OPEC oil ministers including Saudi Arabia's Khalid al-Falih met in Doha on the sidelines of a gas forum. Iranian officials attended the gathering although minister Bijan Zanganeh did not come.
At the meeting, OPEC member countries proposed Iran cap its oil output at 3.92 million barrels per day (bpd), a source familiar with the proposal told Reuters.
Iran has previously said it would accept a freeze at between 4.0 and 4.2 million bpd.
Gulf OPEC sources have said they wanted Iran to cap output at around 3.6-3.7 million bpd - the volume the Islamic Republic is currently producing, according to OPEC estimates.
The source said Tehran had yet to respond to the proposal.
Iran's OPEC governor, who attended Friday's talks, said he was optimistic that the producer group would reach a deal when it gathers formally in Vienna on Nov. 30. 
Falih said the Friday meeting went well, but declined further comment.
If OPEC reaches a deal on Nov. 30, it may also draw support from non-OPEC members including Russia, which promised to cooperate but so far has refrained from any firm commitment.
Russian Energy Minister Alexander Novak participated in Friday's meeting and said he thought OPEC was moving closer to a deal. If an agreement were reached, Russia was prepared to join and cap output for six months or longer, Novak said.

He also said more non-OPEC producers could join such a pact. The Azeri Energy Ministry said on Friday it would send a delegation to consultations in Vienna later this month. 
 
"
9,By Investing.com,"<span>Nov 18, 2016 06:54AM ET</span>",Crude prices edge higher amid OPEC deal hopes,"Investing.com - U.S. oil prices edged higher on Friday, as the prospect of a potential oil production freeze deal overshadowed the strength of the U.S. dollar.
U.S. crude futures for December delivery were up 0.24% at $45.53 a barrel.
On the ICE Futures Exchange in London, the January Brent contract gained 0.37% to trade at $46.66 a barrel.
Crude prices found support after Saudi Energy Minister Khalid al-Falih said on Thursday that he was optimistic that OPEC would formalize a preliminary oil output deal reached in Algeria in September.
He said talks were ongoing with Qatar's Energy Minister Mohammed al-Sada, who had invited him to Qatar to continue discussions.
His comments came after Russian Energy Minister Alexander Novak said on Wednesday that Russia is ready to support OPEC's decision on an oil output freeze and sees big chances that the oil producers' group can agree on the terms of the freeze by November 30.
He also said there was a possibility he could meet Saudi Arabia's Energy Minister Khalid al-Falih at a gas conference in Doha this week.
OPEC reached an agreement to cap output to a range of 32.5 million to 33.0 million barrels per day in talks held in Algeria in late September. However, OPEC said it won’t finalize details on individual output quotas until its next official meeting in Vienna on November 30.
But the commodity’s gains were capped as the dollar remained broadly supported after strong U.S. initial jobless claims and inflation data on Thursday fueled further expectations for a rate hike at the Fed’s December policy meeting.
In addition, Fed Chair Janet Yellen said in testimony to Congress that an increase in interest rates could be ""appropriate relatively soon"".
"
